,MAE
0,0.0027589798
1,0.0027589798
2,0.0027589798
3,0.0027589798
4,0.0027589798
5,0.0027589798
6,0.0027589798
7,0.0027589798
8,0.0027589798
9,0.0027589798
10,0.0027589798
11,0.0027589798
12,0.0027589798
13,0.0027589798
14,0.0027589798
15,0.0027589798
16,0.0027589798
17,0.0027589798
18,0.0027589798
19,0.0027589798
20,0.0027589798
21,0.0027589798
22,0.0027589798
23,0.0027589798
24,0.0027589798
25,0.0027589798
26,0.0027589798
27,0.0027589798
28,0.0027589798
29,0.0027589798
30,0.011424065
31,0.012230873
32,0.013907433
33,0.013907433
34,0.013907433
35,0.013907433
36,0.013907433
37,0.013907433
38,0.014704704
39,0.024510384
40,0.04421425
41,0.05275917
42,0.05275917
43,0.05275917
44,0.05275917
45,0.05275917
46,0.05275917
47,0.05275917
48,0.05275917
49,0.05275917
50,0.05974102
51,0.05974102
52,0.05974102
53,0.05974102
54,0.05974102
55,0.05974102
56,0.05974102
57,0.05974102
58,0.05974102
59,0.05974102
60,0.05974102
61,0.05974102
62,0.05974102
63,0.05974102
64,0.05974102
65,0.05974102
66,0.05974102
67,0.05974102
68,0.05974102
69,0.05974102
70,0.05974102
71,0.05974102
72,0.05974102
73,0.05974102
74,0.05974102
75,0.05974102
76,0.060861588
77,0.06525898
78,0.06525898
79,0.06525898
80,0.06525898
81,0.06525898
82,0.06525898
83,0.06525898
84,0.06525898
85,0.06525898
86,0.06525898
87,0.06525898
88,0.06525898
89,0.06525898
90,0.06525898
91,0.06525898
92,0.06525898
93,0.06525898
94,0.06525898
95,0.06525898
96,0.06525898
97,0.06525898
98,0.06525898
99,0.06525898
100,0.06525898
101,0.06525898
102,0.06525898
103,0.06525898
104,0.06525898
105,0.06525898
106,0.06525898
107,0.06525898
108,0.06525898
109,0.06525898
110,0.06525898
111,0.06525898
112,0.06525898
113,0.06525898
114,0.06525898
115,0.06525898
116,0.06525898
117,0.06525898
118,0.06525898
119,0.06525898
120,0.06525898
121,0.06525898
122,0.06525898
123,0.06525898
124,0.06525898
125,0.06525898
126,0.06525898
127,0.06525898
128,0.06525898
129,0.06525898
130,0.06525898
131,0.06525898
132,0.06525898
133,0.06525898
134,0.072128296
135,0.07628822
136,0.07822895
137,0.080574036
138,0.080574036
139,0.080574036
140,0.080574036
141,0.080574036
142,0.086091995
143,0.09388733
144,0.11942577
145,0.11942577
146,0.11942577
147,0.11942577
148,0.11942577
149,0.11942577
150,0.11942577
151,0.11942577
152,0.11942577
153,0.11942577
154,0.11942577
155,0.11942577
156,0.11942577
157,0.11942577
158,0.11942577
159,0.11942577
160,0.11942577
161,0.11942577
162,0.11942577
163,0.11942577
164,0.11942577
165,0.11942577
166,0.12224102
167,0.12224102
168,0.12224102
169,0.12224102
170,0.12224102
171,0.12224102
172,0.12224102
173,0.12224102
174,0.12224102
175,0.12224102
176,0.12224102
177,0.12224102
178,0.12224102
179,0.12224102
180,0.12224102
181,0.12224102
182,0.12224102
183,0.12224102
184,0.12224102
185,0.12224102
186,0.12775898
187,0.12775898
188,0.12775898
189,0.12775898
190,0.12775898
191,0.12775898
192,0.12775898
193,0.12775898
194,0.12775898
195,0.12775898
196,0.12775898
197,0.12775898
198,0.12775898
199,0.12775898
200,0.12775898
201,0.12775898
202,0.12775898
203,0.12775898
204,0.12775898
205,0.12775898
206,0.12775898
207,0.12775898
208,0.12775898
209,0.12775898
210,0.12775898
211,0.12775898
212,0.12775898
213,0.12775898
214,0.12775898
215,0.12775898
216,0.12775898
217,0.12775898
218,0.12775898
219,0.12775898
220,0.12775898
221,0.12775898
222,0.12775898
223,0.12775898
224,0.12775898
225,0.12775898
226,0.12775898
227,0.12775898
228,0.12775898
229,0.12775898
230,0.12775898
231,0.12775898
232,0.12775898
233,0.12775898
234,0.12775898
235,0.12775898
236,0.12775898
237,0.12775898
238,0.12775898
239,0.12775898
240,0.12775898
241,0.12775898
242,0.12775898
243,0.12775898
244,0.12775898
245,0.12775898
246,0.12775898
247,0.12775898
248,0.12775898
249,0.12775898
250,0.12775898
251,0.12775898
252,0.12775898
253,0.12775898
254,0.12775898
255,0.12775898
256,0.12775898
257,0.12775898
258,0.12775898
259,0.12775898
260,0.12775898
261,0.12775898
262,0.12775898
263,0.12775898
264,0.12775898
265,0.12775898
266,0.12775898
267,0.12775898
268,0.12775898
269,0.12775898
270,0.12775898
271,0.12775898
272,0.12775898
273,0.12775898
274,0.12775898
275,0.12775898
276,0.12775898
277,0.12775898
278,0.12775898
279,0.12775898
280,0.12775898
281,0.12775898
282,0.12775898
283,0.13511181
284,0.13511181
285,0.13511181
286,0.14164734
287,0.14724064
288,0.14724064
289,0.14724064
290,0.14724064
291,0.14724064
292,0.14974028
293,0.1527586
294,0.1527586
295,0.1567173
296,0.15900612
297,0.18133068
298,0.18474102
299,0.18474102
