,MAE
0,0.0002975464
1,0.0005340576
2,0.0006713867
3,0.0011711121
4,0.0018196106
5,0.0018348768
6,0.0023231506
7,0.0027999878
8,0.0031661987
9,0.0032043457
10,0.004081726
11,0.0043945312
12,0.004776001
13,0.0057029724
14,0.0058403015
15,0.0063667297
16,0.006385803
17,0.0065078735
18,0.0066375732
19,0.006832123
20,0.0069847107
21,0.007232666
22,0.0072746277
23,0.0075149536
24,0.008419037
25,0.008686066
26,0.008724213
27,0.008747101
28,0.0094947815
29,0.010192871
30,0.0103645325
31,0.010383606
32,0.01071167
33,0.011566162
34,0.0116119385
35,0.011764526
36,0.0118637085
37,0.01215744
38,0.012302399
39,0.013214111
40,0.013374329
41,0.013961792
42,0.014137268
43,0.014621735
44,0.014797211
45,0.014846802
46,0.015197754
47,0.015327454
48,0.01556778
49,0.017288208
50,0.017971046
51,0.018013
52,0.018043518
53,0.0181427
54,0.018432617
55,0.018455505
56,0.01845932
57,0.018550873
58,0.018836975
59,0.019191742
60,0.019390106
61,0.020816803
62,0.02117157
63,0.02167511
64,0.021862
65,0.022026062
66,0.023010254
67,0.023151398
68,0.023231506
69,0.023448944
70,0.023677826
71,0.024021149
72,0.024421692
73,0.024959564
74,0.024978638
75,0.026630402
76,0.027610779
77,0.02796936
78,0.028160095
79,0.028614044
80,0.028717041
81,0.028793335
82,0.0289917
83,0.02954483
84,0.030506134
85,0.030914307
86,0.031360626
87,0.031375885
88,0.03211975
89,0.032943726
90,0.03334427
91,0.03353882
92,0.03363037
93,0.033813477
94,0.034225464
95,0.034744263
96,0.03479004
97,0.035312653
98,0.03584671
99,0.036441803
100,0.03660965
101,0.03736496
102,0.038223267
103,0.03876114
104,0.039218903
105,0.039268494
106,0.039958954
107,0.04011917
108,0.040729523
109,0.040737152
110,0.041641235
111,0.041862488
112,0.042304993
113,0.043380737
114,0.043876648
115,0.045207977
116,0.04601288
117,0.046325684
118,0.046878815
119,0.047935486
120,0.04806137
121,0.04834366
122,0.048454285
123,0.04916382
124,0.04920578
125,0.049518585
126,0.049613953
127,0.04966736
128,0.04991913
129,0.049922943
130,0.050178528
131,0.050186157
132,0.050563812
133,0.050567627
134,0.05099106
135,0.05104065
136,0.051441193
137,0.05160904
138,0.051883698
139,0.051914215
140,0.052230835
141,0.052265167
142,0.05303192
143,0.054000854
144,0.054611206
145,0.05470276
146,0.05472946
147,0.054790497
148,0.05504608
149,0.055049896
150,0.055900574
151,0.05594635
152,0.056415558
153,0.05671692
154,0.056999207
155,0.05770874
156,0.058288574
157,0.058338165
158,0.059627533
159,0.05967331
160,0.059692383
161,0.06029892
162,0.06062317
163,0.061416626
164,0.061580658
165,0.061580658
166,0.062244415
167,0.062999725
168,0.06523895
169,0.06524658
170,0.06585312
171,0.066272736
172,0.066337585
173,0.06638718
174,0.06642151
175,0.06655121
176,0.067840576
177,0.06825256
178,0.06838226
179,0.06845093
180,0.068496704
181,0.06852722
182,0.068813324
183,0.069129944
184,0.06914139
185,0.06927872
186,0.07066345
187,0.07128143
188,0.071395874
189,0.07248688
190,0.07249069
191,0.07330322
192,0.074718475
193,0.074798584
194,0.07492447
195,0.07501984
196,0.07506561
197,0.075302124
198,0.07652283
199,0.076602936
200,0.07670212
201,0.07801056
202,0.07826996
203,0.07901764
204,0.0791626
205,0.07943726
206,0.07947159
207,0.07959747
208,0.07978439
209,0.08068085
210,0.08080292
211,0.08093262
212,0.081531525
213,0.081790924
214,0.08262635
215,0.0829239
216,0.08420563
217,0.08503342
218,0.085170746
219,0.085624695
220,0.08675003
221,0.08680725
222,0.08708954
223,0.08718872
224,0.08732605
225,0.08733368
226,0.08769226
227,0.08783722
228,0.088214874
229,0.08833313
230,0.08841705
231,0.08947754
232,0.08972168
233,0.090042114
234,0.0901947
235,0.09090042
236,0.09194183
237,0.09228897
238,0.09263611
239,0.09317398
240,0.093681335
241,0.093696594
242,0.09395599
243,0.0940094
244,0.09436035
245,0.09523773
246,0.09527969
247,0.09653854
248,0.09682846
249,0.09719849
250,0.09730911
251,0.09770203
252,0.097766876
253,0.098846436
254,0.0991478
255,0.0993042
256,0.099472046
257,0.099498756
258,0.099681854
259,0.09976578
260,0.1000824
261,0.10014343
262,0.10095215
263,0.10096741
264,0.10119248
265,0.101306915
266,0.10171509
267,0.101745605
268,0.101802826
269,0.10243225
270,0.102573395
271,0.102874756
272,0.103500366
273,0.10357666
274,0.10377121
275,0.10406113
276,0.10567474
277,0.10569763
278,0.105846405
279,0.105983734
280,0.10650635
281,0.10707855
282,0.10748291
283,0.10800934
284,0.108551025
285,0.108737946
286,0.10910034
287,0.10922241
288,0.11011506
289,0.11045456
290,0.11092377
291,0.11115646
292,0.11216354
293,0.112220764
294,0.11229706
295,0.11240387
296,0.11255646
297,0.11346817
298,0.11455917
299,0.114593506
300,0.11537933
301,0.11587906
302,0.11606979
303,0.116420746
304,0.11717987
305,0.117767334
306,0.118198395
307,0.11829376
308,0.1190567
309,0.11923218
310,0.11946106
311,0.119773865
312,0.12014389
313,0.12017059
314,0.12050629
315,0.1207962
316,0.1209259
317,0.12094116
318,0.122039795
319,0.12238312
320,0.122406006
321,0.122730255
322,0.12276459
323,0.12288666
324,0.12356186
325,0.12373352
326,0.12421036
327,0.12468338
328,0.124923706
329,0.12500381
330,0.12557983
331,0.12613678
332,0.1261673
333,0.12656784
334,0.12792206
335,0.12824821
336,0.12831497
337,0.12839508
338,0.1289177
339,0.1291008
340,0.12915802
341,0.12960815
342,0.12971115
343,0.12990576
344,0.13003159
345,0.13045502
346,0.13064194
347,0.13066483
348,0.13076016
349,0.13189697
350,0.13225555
351,0.13257599
352,0.13259125
353,0.13454819
354,0.1351471
355,0.13532639
356,0.1354599
357,0.13693619
358,0.13822174
359,0.13835907
360,0.13908005
361,0.13925552
362,0.13926697
363,0.14105606
364,0.14138794
365,0.14149857
366,0.14183044
367,0.1420021
368,0.1423378
369,0.14271545
370,0.14273453
371,0.14292908
372,0.1431961
373,0.14321136
374,0.14403915
375,0.14417648
376,0.14460754
377,0.14478302
378,0.1470375
379,0.14746857
