,MAE
0,0.0007605208
1,0.0010964144
2,0.0012691095
3,0.00249705
4,0.0040830756
5,0.004119065
6,0.0059279073
7,0.006100705
8,0.00646779
9,0.0068317275
10,0.0084206965
11,0.008714056
12,0.009964893
13,0.010322402
14,0.0146561
15,0.01743142
16,0.022363845
17,0.023011548
18,0.023082763
19,0.023292787
20,0.025286185
21,0.026569415
22,0.030259077
23,0.03031135
24,0.030699788
25,0.03349492
26,0.03437365
27,0.035113513
28,0.0356261
29,0.037226684
30,0.043537147
31,0.044322662
32,0.046139672
33,0.047190096
34,0.049162492
35,0.049457915
36,0.050303627
37,0.05339202
38,0.057352535
39,0.057767212
40,0.06096759
41,0.06170505
42,0.062690705
43,0.0642145
44,0.06676704
45,0.069886535
46,0.07065148
47,0.07289978
48,0.0798766
49,0.08662696
50,0.091717854
51,0.097750515
52,0.09924662
53,0.09971282
54,0.10097143
55,0.108538546
56,0.10903314
57,0.10974711
58,0.1122501
59,0.114263326
60,0.11456699
61,0.11479575
62,0.119252026
63,0.12031444
64,0.12036423
65,0.12090125
66,0.12557939
67,0.12682125
68,0.12759483
69,0.12820886
70,0.13322242
71,0.13708167
72,0.13730355
73,0.13924707
74,0.1446842
75,0.14489098
76,0.1449478
77,0.15715858
78,0.16047901
79,0.16103642
80,0.16169511
81,0.16298702
82,0.16350105
83,0.16406685
84,0.16543779
85,0.16635463
86,0.16785784
87,0.16891184
88,0.16914484
89,0.1701595
90,0.1716564
91,0.17207414
92,0.17226313
93,0.17252354
94,0.17295872
95,0.17299917
96,0.17350918
97,0.17467003
98,0.17469127
99,0.17660841
100,0.17725532
101,0.17729862
102,0.18100812
103,0.18135902
104,0.18144031
105,0.18153846
106,0.18477543
107,0.18778525
108,0.18794824
109,0.19221748
110,0.1926562
111,0.19382015
112,0.1940784
113,0.19529499
114,0.19786501
115,0.2030135
116,0.20320576
117,0.20545109
118,0.20585859
119,0.208745
120,0.21019505
121,0.21334252
122,0.21575205
123,0.21609518
124,0.21658444
125,0.21870638
126,0.21916531
127,0.2198212
128,0.2211587
129,0.22128157
130,0.22150938
131,0.2216442
132,0.22222358
133,0.22273251
134,0.22299647
135,0.2231796
136,0.22353847
137,0.22386472
138,0.22413164
139,0.22536097
140,0.22548267
141,0.2257443
142,0.22649191
143,0.22730684
144,0.2280476
145,0.22864774
146,0.22876066
147,0.22900218
148,0.2290102
149,0.22903466
150,0.22928023
151,0.22955069
152,0.22994354
153,0.23000646
154,0.2300793
155,0.23034152
156,0.23038769
157,0.23044628
158,0.23086967
159,0.23087043
160,0.23110582
161,0.23120576
162,0.23127647
163,0.23134626
164,0.23139934
165,0.23232175
166,0.23257057
167,0.23294932
168,0.23348111
169,0.23376934
170,0.23402411
171,0.23403174
172,0.23403479
173,0.23404634
174,0.23409447
175,0.23464164
176,0.23480065
177,0.23481348
178,0.23481399
179,0.23484156
180,0.23502913
181,0.23567548
182,0.23567784
183,0.23587354
184,0.23592857
185,0.23593101
186,0.2362518
187,0.2363921
188,0.23649544
189,0.2366937
190,0.23672426
191,0.23672538
192,0.23675326
193,0.23679584
194,0.23683129
195,0.23726279
196,0.23734418
197,0.2375741
198,0.23764557
199,0.23794016
200,0.23794886
201,0.23799434
202,0.23824243
203,0.23846252
204,0.23864336
205,0.2387535
206,0.23882106
207,0.23898347
208,0.2390356
209,0.23935798
210,0.2394302
211,0.23944953
212,0.23951828
213,0.23965576
214,0.23972258
215,0.23975801
216,0.23989488
217,0.240067
218,0.24110515
219,0.2415644
220,0.24167699
221,0.24169582
222,0.24184477
223,0.24199513
224,0.24211602
225,0.24217185
226,0.24226615
227,0.24229057
228,0.24232869
229,0.24244341
230,0.24253061
231,0.24259768
232,0.24271987
233,0.2427839
234,0.24293834
235,0.24319497
236,0.2432262
237,0.24323897
238,0.24326147
239,0.24383503
240,0.24389432
241,0.24405725
242,0.24416623
243,0.24417785
244,0.24440579
245,0.24470723
246,0.2448189
247,0.24497518
248,0.24500035
249,0.24508642
250,0.2451324
251,0.24522357
252,0.24533544
253,0.24537233
254,0.24573262
255,0.24573855
256,0.24587432
257,0.24589616
258,0.24675356
259,0.24718633
260,0.2472776
261,0.24729891
262,0.24739496
263,0.24746129
264,0.24758774
265,0.24790548
266,0.2479206
267,0.2480535
268,0.24807903
269,0.24814683
270,0.2481475
271,0.24858467
272,0.2486649
273,0.24877235
274,0.24908331
275,0.24916853
276,0.24917164
277,0.24919894
278,0.24930269
279,0.249313
280,0.24937165
281,0.24954641
282,0.24976872
283,0.24993496
284,0.24996406
285,0.2506382
286,0.25083396
287,0.25084442
288,0.25100985
289,0.25105494
290,0.25173822
291,0.25182974
292,0.25184456
293,0.25215083
294,0.25248262
295,0.25292742
296,0.25300157
297,0.25322014
298,0.25336206
299,0.25371495
300,0.25373295
301,0.25396502
302,0.25421244
303,0.25425258
304,0.25426406
305,0.25427485
306,0.25470233
307,0.25474334
308,0.25519034
309,0.255431
310,0.2554989
311,0.25569806
312,0.25591072
313,0.25598896
314,0.25629368
315,0.25688803
316,0.2571812
317,0.2578443
318,0.2580358
319,0.25965756
320,0.26010612
321,0.2606423
322,0.26152268
323,0.26179713
324,0.26259857
325,0.2627558
326,0.2631684
327,0.26434913
328,0.2644584
329,0.26597315
330,0.26686865
331,0.27332798
332,0.27357534
333,0.2789413
334,0.28659022
335,0.29115146
336,0.29143423
337,0.29658455
338,0.29760122
339,0.30247143
340,0.30256265
341,0.3034584
342,0.30419582
343,0.3057404
344,0.3068379
345,0.30766577
346,0.31025857
347,0.31030318
348,0.31068704
349,0.3130459
350,0.31684706
351,0.31923392
352,0.32004791
353,0.32170263
354,0.3271194
355,0.32970566
356,0.33355826
357,0.33427662
358,0.3462067
359,0.34732437
360,0.34873974
361,0.35169017
362,0.35269356
363,0.35394326
364,0.35485837
365,0.3558363
366,0.35749972
367,0.35913214
368,0.36037907
369,0.36496332
370,0.3654317
371,0.36701342
372,0.36857742
373,0.3698787
374,0.37081736
375,0.37225494
376,0.37505263
377,0.3759858
378,0.37619424
379,0.3836838
380,0.38483196
381,0.38598126
382,0.38721013
383,0.38907754
384,0.3893246
385,0.3899532
386,0.39418927
387,0.40170553
388,0.40363297
389,0.40560156
390,0.4072892
391,0.4135805
392,0.42211482
393,0.4233397
394,0.4235693
395,0.42547965
396,0.42556304
397,0.42566067
398,0.43051282
399,0.43295956
400,0.4343237
401,0.43533352
402,0.43699086
403,0.43967018
404,0.44030544
405,0.4410243
406,0.44185972
407,0.44421884
408,0.4485801
409,0.44920847
410,0.44922465
411,0.45049655
412,0.4534391
413,0.4544408
414,0.45707738
415,0.46613115
416,0.46985778
417,0.4718553
418,0.47439873
419,0.4747115
420,0.48176375
421,0.4871072
422,0.48795855
423,0.4888836
424,0.48945814
425,0.49236766
426,0.4988748
427,0.5033659
428,0.50339013
429,0.5077196
430,0.50891286
431,0.5122065
432,0.5149752
433,0.5151512
434,0.5156555
435,0.5162464
436,0.5164955
437,0.51866996
438,0.5189831
439,0.5208432
440,0.52152556
441,0.5215836
442,0.52776825
443,0.53384006
444,0.5391454
445,0.5422555
446,0.54897606
447,0.5516861
448,0.55783105
449,0.5624161
450,0.562556
451,0.56411743
452,0.56458855
453,0.56583863
454,0.56652004
455,0.56776947
456,0.5689807
457,0.56919026
458,0.5700834
459,0.5750613
460,0.57577413
461,0.5759645
462,0.577452
463,0.5807016
464,0.5843641
465,0.5879758
466,0.58840615
467,0.58856344
468,0.593386
469,0.59699464
470,0.59950936
471,0.611203
472,0.6157087
473,0.61702996
474,0.6192602
475,0.62133247
476,0.6219979
477,0.6224348
478,0.62267154
479,0.6263133
480,0.62728876
481,0.62763304
482,0.628067
483,0.6283485
484,0.6286594
485,0.6303537
486,0.630387
487,0.63247913
488,0.634422
489,0.63455594
490,0.6354786
491,0.6358129
492,0.6358713
493,0.63786316
494,0.6386335
495,0.63889277
496,0.6389071
497,0.6391995
498,0.6396695
499,0.6402801
500,0.6406131
501,0.6406985
502,0.64182746
503,0.64210534
504,0.64469403
505,0.644819
506,0.64646184
507,0.6480443
508,0.6498044
509,0.6659063
510,0.6790662
511,0.681521
512,0.6838167
513,0.6844543
514,0.68599683
515,0.6876096
516,0.68872464
517,0.68887544
518,0.6889138
519,0.6890919
520,0.6901786
521,0.6903225
522,0.6906624
523,0.691754
524,0.69181883
525,0.6931929
526,0.693865
527,0.69409686
528,0.69436353
529,0.69460267
530,0.6947057
531,0.69722575
532,0.6972798
533,0.69882274
534,0.6988667
535,0.7001839
536,0.70065355
537,0.7015417
538,0.70181954
539,0.70293707
540,0.70318997
541,0.7032207
542,0.70469165
543,0.7051575
544,0.7056689
545,0.70770407
546,0.7078119
547,0.7085131
548,0.7088557
549,0.70936936
550,0.7093889
551,0.7106649
552,0.7121134
553,0.7144245
554,0.71857166
555,0.72669446
556,0.7272664
557,0.72943616
558,0.73062503
559,0.73125905
560,0.7329009
561,0.73354185
562,0.73414254
563,0.73428565
564,0.7345095
565,0.7348598
566,0.7352245
567,0.7353299
568,0.7355629
569,0.73563886
570,0.7357707
571,0.7361638
572,0.73631364
573,0.73640126
574,0.7365817
575,0.73700774
576,0.7374729
577,0.7376572
578,0.7377552
579,0.7377979
580,0.737831
581,0.7380306
582,0.73816216
583,0.73829377
584,0.73834693
585,0.7385299
586,0.73856366
587,0.73856413
588,0.73861355
589,0.7387728
590,0.73892546
591,0.7389316
592,0.73900145
593,0.73904335
594,0.73924285
595,0.73925704
