,MAE
0,0.00018317951
1,0.0004995703
2,0.0004996802
3,0.0013753546
4,0.0017437481
5,0.0019412693
6,0.002653337
7,0.002862563
8,0.0032108636
9,0.0034773177
10,0.003506987
11,0.003683304
12,0.0036918526
13,0.003952905
14,0.0044920174
15,0.0046652392
16,0.0052283956
17,0.0054047196
18,0.005787366
19,0.0059718546
20,0.0059952205
21,0.0067974366
22,0.008240113
23,0.008448791
24,0.00846132
25,0.008863948
26,0.009934878
27,0.010483714
28,0.010791617
29,0.01182066
30,0.014840689
31,0.0150109
32,0.01652853
33,0.016608618
34,0.01675237
35,0.017566558
36,0.022647973
37,0.027855404
38,0.031682774
39,0.0379997
40,0.039374676
41,0.04019526
42,0.04065153
43,0.04197619
44,0.04576424
45,0.046049338
46,0.046251427
47,0.047690257
48,0.04800523
49,0.048074175
50,0.04836504
51,0.048865285
52,0.04959175
53,0.05035432
54,0.0506971
55,0.050708584
56,0.051772237
57,0.052161537
58,0.05231019
59,0.05232599
60,0.052704602
61,0.053050444
62,0.05311552
63,0.053520963
64,0.05377634
65,0.054366175
66,0.05438968
67,0.05501198
68,0.055054266
69,0.055271924
70,0.055699617
71,0.05619995
72,0.05692506
73,0.05694856
74,0.05695569
75,0.05721096
76,0.057418987
77,0.057944737
78,0.05798383
79,0.058112938
80,0.058196843
81,0.059416566
82,0.05945225
83,0.05980605
84,0.060618702
85,0.060629897
86,0.0613
87,0.06132681
88,0.061643954
89,0.061803658
90,0.06221853
91,0.06275195
92,0.062762626
93,0.06324379
94,0.06402333
95,0.06449
96,0.06457795
97,0.065028176
98,0.06545363
99,0.06627367
100,0.06641301
101,0.06680053
102,0.06714155
103,0.067608155
104,0.06862238
105,0.06879738
106,0.06908734
107,0.069234274
108,0.06932209
109,0.070189714
110,0.070242256
111,0.07045988
112,0.07066934
113,0.070710294
114,0.07086546
115,0.071207605
116,0.07175735
117,0.07211037
118,0.07214995
119,0.07227854
120,0.072391875
121,0.0726241
122,0.07345144
123,0.073501475
124,0.07373467
125,0.0743552
126,0.07471049
127,0.07484359
128,0.07571104
129,0.07590583
130,0.07681912
131,0.07890861
132,0.07906999
133,0.079591334
134,0.0800183
135,0.0826575
136,0.08274259
137,0.084183596
138,0.08446219
139,0.08520344
140,0.08600241
141,0.0860204
142,0.091911204
143,0.09203926
144,0.09475739
145,0.10565857
146,0.10703103
147,0.10786199
148,0.10869243
149,0.10869516
150,0.1087789
151,0.10894255
152,0.10989395
153,0.10995057
154,0.112335205
155,0.11243045
156,0.112595655
157,0.11266946
158,0.11267053
159,0.11288908
160,0.11304067
161,0.11309649
162,0.1131626
163,0.11351173
164,0.11464627
165,0.115531534
166,0.11557131
167,0.1156529
168,0.115992226
169,0.11633645
170,0.117074005
171,0.11713659
172,0.11802226
173,0.11812124
174,0.11833775
175,0.11835685
176,0.11888602
177,0.119397
178,0.119400784
179,0.119833685
180,0.12024099
181,0.12030084
182,0.120439336
183,0.12071262
184,0.12087337
185,0.121085405
186,0.12124856
187,0.12139877
188,0.1214925
189,0.12159329
190,0.12171927
191,0.1218576
192,0.122120105
193,0.12242338
194,0.12262819
195,0.12264301
196,0.1227247
197,0.12286958
198,0.12302303
199,0.12342931
200,0.12398074
201,0.12409212
202,0.12412958
203,0.12418207
204,0.12420506
205,0.12454431
206,0.12492085
207,0.12509212
208,0.12523867
209,0.1256358
210,0.12590751
211,0.12591657
212,0.12661843
213,0.12750326
214,0.12751126
215,0.1275846
216,0.12763727
217,0.1278526
218,0.12794463
219,0.12811022
220,0.12826066
221,0.12838064
222,0.12857313
223,0.12863135
224,0.12886958
225,0.12899907
226,0.1291261
227,0.12925662
228,0.12933108
229,0.12969606
230,0.13010684
231,0.13052219
232,0.13055354
233,0.13094096
234,0.13102409
235,0.13112178
236,0.13113278
237,0.1313983
238,0.13151658
239,0.1316422
240,0.131955
241,0.1319851
242,0.13211681
243,0.1325069
244,0.13269487
245,0.13310894
246,0.13314639
247,0.13318525
248,0.13321874
249,0.13336131
250,0.13365266
251,0.13399042
252,0.13418917
253,0.1342771
254,0.13445675
255,0.13476656
256,0.13476692
257,0.13494869
258,0.13503528
259,0.13534315
260,0.1354291
261,0.13568644
262,0.13588649
263,0.13598955
264,0.13620189
265,0.13652617
266,0.13660905
267,0.1368398
268,0.13691233
269,0.13696513
270,0.13746887
271,0.13750234
272,0.13762793
273,0.13808829
274,0.13867205
275,0.13875997
276,0.13958423
277,0.14085446
278,0.14085695
279,0.1419033
280,0.1433654
281,0.14363658
282,0.14459117
283,0.14603227
284,0.14686073
285,0.14695565
286,0.14725877
287,0.14760096
288,0.1496273
289,0.15001896
290,0.15051056
291,0.15308657
292,0.15393022
293,0.15396515
294,0.1581999
295,0.15864865
296,0.16155857
297,0.16519362
298,0.16638479
299,0.1664763
300,0.16684467
301,0.16952252
302,0.16968034
303,0.17015986
304,0.17121121
305,0.17160195
306,0.17166248
307,0.17207533
308,0.17213419
309,0.17219329
310,0.17219622
311,0.17231986
312,0.17249441
313,0.17260651
314,0.17269196
315,0.1729034
316,0.17307073
317,0.17324801
318,0.17373559
319,0.17379817
320,0.17385326
321,0.17392907
322,0.17430678
323,0.17453405
324,0.17463651
325,0.17469783
326,0.17484418
327,0.17485122
328,0.17494443
329,0.17508063
330,0.17512357
331,0.17516364
332,0.17524242
333,0.17554763
334,0.17576364
335,0.1758123
336,0.17615896
337,0.17627715
338,0.17635155
339,0.17637931
340,0.17649335
341,0.17649812
342,0.17673118
343,0.17676304
344,0.17704833
345,0.17711684
346,0.17714138
347,0.17715245
348,0.17732917
349,0.17735337
350,0.17745599
351,0.17748372
352,0.17750363
353,0.17755744
354,0.17774902
355,0.17780074
356,0.17780946
357,0.1782174
358,0.17829274
359,0.17830274
360,0.17831896
361,0.17847554
362,0.17862095
363,0.17863463
364,0.17880563
365,0.17889088
366,0.17902085
367,0.17902352
368,0.17931382
369,0.17934765
370,0.17958231
371,0.17977627
372,0.17981176
373,0.17984058
374,0.17990486
375,0.17990911
376,0.1799772
377,0.17998673
378,0.1800384
379,0.18014237
380,0.18015745
381,0.18016694
382,0.18029362
383,0.18029837
384,0.18053015
385,0.18072587
386,0.18097243
387,0.18102713
388,0.18120468
389,0.18128651
390,0.1812872
391,0.18151984
392,0.18167788
393,0.18168713
394,0.18180716
395,0.18192665
396,0.18193617
397,0.18209311
398,0.18219492
399,0.18223701
400,0.18231905
401,0.1823621
402,0.18247287
403,0.18255205
404,0.1826724
405,0.18281934
406,0.18282883
407,0.18299092
408,0.18303514
409,0.18307447
410,0.18308581
411,0.18309553
412,0.18311647
413,0.18314205
414,0.18322828
415,0.18334377
416,0.18334536
417,0.18344334
418,0.1834711
419,0.18364829
420,0.18367866
421,0.1837686
422,0.18385577
423,0.183894
424,0.18393639
425,0.18394881
426,0.18396944
427,0.18412912
428,0.1841825
429,0.18425047
430,0.18431008
431,0.18436792
432,0.1844975
433,0.1845111
434,0.18466161
435,0.1846764
436,0.18473616
437,0.18483537
438,0.1848383
439,0.18484293
440,0.18487662
441,0.18492611
442,0.18509994
443,0.185166
444,0.18516718
445,0.1851979
446,0.18523891
447,0.18537217
448,0.1856446
449,0.18568608
450,0.185901
451,0.1860448
452,0.18608715
453,0.18612853
454,0.18627383
455,0.18651037
456,0.18655987
457,0.18659158
458,0.1866716
459,0.1867843
460,0.18688522
461,0.18692765
462,0.18697649
463,0.18712722
464,0.18716346
465,0.1871831
466,0.18731466
467,0.18733498
468,0.18744
469,0.18752608
470,0.18758531
471,0.18763514
472,0.18763837
473,0.18771061
474,0.1877425
475,0.18774265
476,0.18781647
477,0.18790694
478,0.1880312
479,0.18810892
480,0.18824725
481,0.18828036
482,0.18831415
483,0.18852729
484,0.18855822
485,0.18858126
486,0.18859875
487,0.18865098
488,0.18884979
489,0.18885729
490,0.18886267
491,0.18890887
492,0.18896481
493,0.18898436
494,0.18905379
495,0.18916303
496,0.18920642
497,0.18934502
498,0.18943794
499,0.189456
500,0.18951704
501,0.18952759
502,0.18959351
503,0.18960525
504,0.18963458
505,0.18965217
506,0.18980166
507,0.18985933
508,0.18986128
509,0.18986897
510,0.18987513
511,0.18992144
512,0.18998893
513,0.19010931
514,0.19011594
515,0.19017553
516,0.19018637
517,0.19020042
518,0.19020152
519,0.19025691
520,0.19029419
521,0.1903663
522,0.19072315
523,0.19100517
524,0.19105822
525,0.19108295
526,0.19113672
527,0.19123356
528,0.19127151
529,0.191342
530,0.19136032
531,0.19139123
532,0.1914822
533,0.19149089
534,0.19151905
535,0.1915609
536,0.1916187
537,0.1917232
538,0.19177291
539,0.19179465
